수량,중량,평균가,yyyy,mm,dd,산지_군산,산지_보령,산지_여수,규격_10미,규격_대,규격_중
33,10.0,37300,2017,7,28,1,0,0,1,0,0
19,10.0,34700,2017,7,31,1,0,0,1,0,0
27,10.0,33400,2017,8,2,1,0,0,1,0,0
9,10.0,34500,2017,8,18,1,0,0,1,0,0
21,10.0,15000,2017,11,1,1,0,0,1,0,0
23,10.0,15000,2017,11,2,1,0,0,1,0,0
25,10.0,25000,2017,11,3,1,0,0,1,0,0
5,10.0,28000,2017,11,30,1,0,0,1,0,0
14,10.0,10700,2017,12,1,1,0,0,1,0,0
15,10.0,42000,2018,1,24,1,0,0,1,0,0
12,10.0,31600,2018,1,25,1,0,0,1,0,0
11,10.0,30000,2018,1,27,1,0,0,1,0,0
3,10.0,30000,2018,1,29,1,0,0,1,0,0
10,10.0,30000,2018,1,31,1,0,0,1,0,0
12,10.0,29000,2018,2,1,1,0,0,1,0,0
5,10.0,30000,2018,2,2,1,0,0,1,0,0
10,10.0,31500,2018,2,5,1,0,0,1,0,0
12,10.0,30000,2018,2,10,1,0,0,1,0,0
25,10.0,28100,2018,2,13,1,0,0,1,0,0
26,10.0,29800,2018,2,14,1,0,0,1,0,0
22,10.0,30000,2018,2,20,1,0,0,1,0,0
7,10.0,29500,2018,2,21,1,0,0,1,0,0
14,10.0,25000,2018,2,22,1,0,0,1,0,0
23,10.0,25800,2018,2,23,1,0,0,1,0,0
24,10.0,24200,2018,2,24,1,0,0,1,0,0
30,10.0,27000,2018,2,26,1,0,0,1,0,0
18,10.0,23100,2018,2,27,1,0,0,1,0,0
6,10.0,23000,2018,2,28,1,0,0,1,0,0
48,10.0,28600,2018,3,1,1,0,0,1,0,0
19,10.0,23000,2018,3,2,1,0,0,1,0,0
24,10.0,23800,2018,3,3,1,0,0,1,0,0
46,10.0,30000,2018,3,19,1,0,0,1,0,0
37,5.0,30000,2018,3,20,1,0,0,1,0,0
54,5.0,30000,2018,3,26,1,0,0,1,0,0
58,10.0,30000,2018,4,6,1,0,0,1,0,0
61,10.0,30000,2018,4,13,1,0,0,1,0,0
5,10.0,26000,2018,4,27,1,0,0,1,0,0
4,10.0,35000,2018,5,14,1,0,0,1,0,0
18,10.0,31100,2018,6,12,1,0,0,1,0,0
2,10.0,24500,2018,6,19,1,0,0,1,0,0
10,10.0,32200,2018,6,27,1,0,0,1,0,0
12,10.0,28000,2018,9,13,1,0,0,1,0,0
15,10.0,27000,2018,9,14,1,0,0,1,0,0
12,10.0,32000,2018,9,17,1,0,0,1,0,0
12,10.0,27100,2018,9,18,1,0,0,1,0,0
14,10.0,28100,2018,9,19,1,0,0,1,0,0
3,10.0,13300,2018,10,3,1,0,0,1,0,0
8,10.0,33200,2018,10,24,1,0,0,1,0,0
35,10.0,22600,2018,10,25,1,0,0,1,0,0
10,10.0,22900,2018,10,27,1,0,0,1,0,0
31,10.0,17900,2018,10,29,1,0,0,1,0,0
3,10.0,27700,2018,11,2,1,0,0,1,0,0
2,10.0,26000,2018,11,3,1,0,0,1,0,0
16,10.0,26800,2018,11,5,1,0,0,1,0,0
41,10.0,21700,2018,11,7,1,0,0,1,0,0
1,10.0,25500,2018,11,8,1,0,0,1,0,0
5,10.0,25300,2018,11,9,1,0,0,1,0,0
17,10.0,23100,2018,11,15,1,0,0,1,0,0
33,10.0,25800,2018,11,16,1,0,0,1,0,0
28,10.0,23500,2018,11,17,1,0,0,1,0,0
13,10.0,21800,2018,11,19,1,0,0,1,0,0
5,10.0,25300,2018,11,20,1,0,0,1,0,0
7,10.0,23000,2018,11,21,1,0,0,1,0,0
8,10.0,26100,2018,11,22,1,0,0,1,0,0
10,10.0,15500,2018,11,23,1,0,0,1,0,0
13,10.0,28300,2018,11,24,1,0,0,1,0,0
13,10.0,24700,2018,11,26,1,0,0,1,0,0
34,10.0,23300,2018,11,27,1,0,0,1,0,0
15,10.0,26000,2018,11,28,1,0,0,1,0,0
29,10.0,22200,2018,11,29,1,0,0,1,0,0
22,10.0,24400,2018,12,1,1,0,0,1,0,0
16,10.0,22800,2018,12,3,1,0,0,1,0,0
17,10.0,23500,2018,12,4,1,0,0,1,0,0
11,10.0,21300,2018,12,5,1,0,0,1,0,0
16,10.0,25900,2018,12,8,1,0,0,1,0,0
20,10.0,20000,2018,12,10,1,0,0,1,0,0
35,10.0,27400,2018,12,11,1,0,0,1,0,0
12,10.0,22800,2018,12,12,1,0,0,1,0,0
10,10.0,22300,2018,12,13,1,0,0,1,0,0
22,10.0,24400,2018,12,14,1,0,0,1,0,0
28,10.0,24200,2018,12,15,1,0,0,1,0,0
20,10.0,24800,2018,12,17,1,0,0,1,0,0
14,10.0,24400,2018,12,18,1,0,0,1,0,0
37,10.0,22000,2018,12,19,1,0,0,1,0,0
20,10.0,25000,2018,12,20,1,0,0,1,0,0
15,10.0,23500,2018,12,21,1,0,0,1,0,0
25,10.0,24500,2018,12,22,1,0,0,1,0,0
24,10.0,24100,2018,12,24,1,0,0,1,0,0
21,10.0,23800,2018,12,25,1,0,0,1,0,0
27,10.0,23700,2018,12,26,1,0,0,1,0,0
26,10.0,23600,2018,12,27,1,0,0,1,0,0
15,10.0,22500,2018,12,28,1,0,0,1,0,0
24,10.0,24100,2018,12,31,1,0,0,1,0,0
25,10.0,24700,2019,1,3,1,0,0,1,0,0
36,10.0,24200,2019,1,4,1,0,0,1,0,0
10,10.0,26000,2019,1,5,1,0,0,1,0,0
40,10.0,24400,2019,1,7,1,0,0,1,0,0
20,10.0,22800,2019,1,8,1,0,0,1,0,0
20,10.0,21700,2019,1,9,1,0,0,1,0,0
15,10.0,21300,2019,1,10,1,0,0,1,0,0
5,10.0,24300,2019,1,12,1,0,0,1,0,0
19,10.0,23700,2019,1,14,1,0,0,1,0,0
10,10.0,23000,2019,1,15,1,0,0,1,0,0
10,10.0,24200,2019,1,16,1,0,0,1,0,0
19,10.0,23100,2019,1,17,1,0,0,1,0,0
22,10.0,22900,2019,1,18,1,0,0,1,0,0
18,10.0,20300,2019,1,19,1,0,0,1,0,0
24,10.0,21800,2019,1,21,1,0,0,1,0,0
24,10.0,21000,2019,1,22,1,0,0,1,0,0
11,10.0,22000,2019,1,23,1,0,0,1,0,0
21,10.0,21200,2019,1,24,1,0,0,1,0,0
8,10.0,21000,2019,1,25,1,0,0,1,0,0
18,10.0,22700,2019,1,26,1,0,0,1,0,0
21,10.0,24100,2019,1,28,1,0,0,1,0,0
1,10.0,18500,2019,1,29,1,0,0,1,0,0
5,10.0,25200,2019,1,30,1,0,0,1,0,0
12,10.0,27600,2019,1,31,1,0,0,1,0,0
25,10.0,29600,2019,2,1,1,0,0,1,0,0
32,10.0,30600,2019,2,2,1,0,0,1,0,0
30,10.0,24300,2019,2,3,1,0,0,1,0,0
17,10.0,26400,2019,2,8,1,0,0,1,0,0
29,10.0,24800,2019,2,9,1,0,0,1,0,0
52,10.0,25300,2019,2,11,1,0,0,1,0,0
29,10.0,22400,2019,2,12,1,0,0,1,0,0
8,10.0,24000,2019,2,13,1,0,0,1,0,0
8,10.0,18500,2019,2,14,1,0,0,1,0,0
5,10.0,24000,2019,2,15,1,0,0,1,0,0
31,10.0,23100,2019,2,16,1,0,0,1,0,0
24,10.0,22500,2019,2,18,1,0,0,1,0,0
34,10.0,21200,2019,2,19,1,0,0,1,0,0
16,10.0,24000,2019,2,20,1,0,0,1,0,0
19,10.0,25000,2019,2,21,1,0,0,1,0,0
14,10.0,26000,2019,2,22,1,0,0,1,0,0
22,10.0,26600,2019,2,23,1,0,0,1,0,0
24,10.0,24500,2019,2,25,1,0,0,1,0,0
16,10.0,25100,2019,2,26,1,0,0,1,0,0
22,10.0,24500,2019,2,27,1,0,0,1,0,0
8,10.0,25900,2019,2,28,1,0,0,1,0,0
8,10.0,27900,2019,3,2,1,0,0,1,0,0
16,10.0,25400,2019,3,4,1,0,0,1,0,0
20,10.0,26100,2019,3,5,1,0,0,1,0,0
3,10.0,25000,2019,3,6,1,0,0,1,0,0
4,10.0,23700,2019,3,8,1,0,0,1,0,0
4,10.0,33000,2019,3,9,1,0,0,1,0,0
26,10.0,29700,2019,3,11,1,0,0,1,0,0
11,10.0,29400,2019,3,12,1,0,0,1,0,0
48,10.0,26400,2019,3,13,1,0,0,1,0,0
25,10.0,26200,2019,3,14,1,0,0,1,0,0
97,10.0,24100,2019,3,15,1,0,0,1,0,0
23,10.0,23300,2019,3,16,1,0,0,1,0,0
8,10.0,27800,2019,3,18,1,0,0,1,0,0
8,10.0,27500,2019,3,20,1,0,0,1,0,0
14,10.0,24900,2019,3,21,1,0,0,1,0,0
19,10.0,26300,2019,3,22,1,0,0,1,0,0
14,10.0,27100,2019,3,23,1,0,0,1,0,0
26,10.0,25200,2019,3,25,1,0,0,1,0,0
10,10.0,26500,2019,3,26,1,0,0,1,0,0
19,10.0,26100,2019,3,27,1,0,0,1,0,0
38,10.0,25000,2019,3,28,1,0,0,1,0,0
27,10.0,24900,2019,3,29,1,0,0,1,0,0
6,5.0,21700,2019,3,30,1,0,0,1,0,0
35,10.0,23400,2019,3,30,1,0,0,1,0,0
30,10.0,24000,2019,4,1,1,0,0,1,0,0
19,10.0,24600,2019,4,2,1,0,0,1,0,0
20,10.0,24200,2019,4,3,1,0,0,1,0,0
17,10.0,24600,2019,4,4,1,0,0,1,0,0
21,10.0,22300,2019,4,5,1,0,0,1,0,0
2,10.0,29200,2019,4,6,1,0,0,1,0,0
9,10.0,27900,2019,4,8,1,0,0,1,0,0
32,10.0,24200,2019,4,9,1,0,0,1,0,0
23,10.0,21500,2019,4,10,1,0,0,1,0,0
11,10.0,24500,2019,4,11,1,0,0,1,0,0
18,10.0,26000,2019,4,12,1,0,0,1,0,0
12,10.0,23200,2019,4,13,1,0,0,1,0,0
17,10.0,27100,2019,4,15,1,0,0,1,0,0
21,10.0,26500,2019,4,16,1,0,0,1,0,0
20,10.0,25300,2019,4,17,1,0,0,1,0,0
10,10.0,24000,2019,4,18,1,0,0,1,0,0
30,10.0,20700,2019,4,19,1,0,0,1,0,0
9,10.0,24800,2019,4,20,1,0,0,1,0,0
31,10.0,22600,2019,4,22,1,0,0,1,0,0
20,10.0,28300,2019,4,23,1,0,0,1,0,0
37,10.0,26700,2019,4,24,1,0,0,1,0,0
53,10.0,23500,2019,4,25,1,0,0,1,0,0
33,10.0,24700,2019,4,26,1,0,0,1,0,0
17,10.0,27500,2019,4,27,1,0,0,1,0,0
32,10.0,25100,2019,4,29,1,0,0,1,0,0
14,10.0,26600,2019,4,30,1,0,0,1,0,0
25,10.0,26700,2019,5,1,1,0,0,1,0,0
25,10.0,27000,2019,5,2,1,0,0,1,0,0
25,10.0,25800,2019,5,3,1,0,0,1,0,0
22,10.0,27200,2019,5,4,1,0,0,1,0,0
22,10.0,26200,2019,5,6,1,0,0,1,0,0
28,10.0,25400,2019,5,7,1,0,0,1,0,0
28,10.0,24100,2019,5,8,1,0,0,1,0,0
17,10.0,24900,2019,5,9,1,0,0,1,0,0
17,10.0,23800,2019,5,10,1,0,0,1,0,0
18,10.0,24300,2019,5,11,1,0,0,1,0,0
11,10.0,28000,2019,5,13,1,0,0,1,0,0
18,10.0,26700,2019,5,14,1,0,0,1,0,0
39,10.0,24700,2019,5,15,1,0,0,1,0,0
25,10.0,25200,2019,5,16,1,0,0,1,0,0
26,10.0,26000,2019,5,17,1,0,0,1,0,0
22,10.0,23900,2019,5,18,1,0,0,1,0,0
25,10.0,24700,2019,5,20,1,0,0,1,0,0
28,10.0,24900,2019,5,21,1,0,0,1,0,0
16,10.0,25400,2019,5,22,1,0,0,1,0,0
19,10.0,24800,2019,5,23,1,0,0,1,0,0
13,10.0,26200,2019,5,24,1,0,0,1,0,0
14,10.0,27600,2019,5,25,1,0,0,1,0,0
17,10.0,26200,2019,5,27,1,0,0,1,0,0
6,10.0,28000,2019,5,28,1,0,0,1,0,0
15,10.0,26100,2019,5,29,1,0,0,1,0,0
21,10.0,25600,2019,5,30,1,0,0,1,0,0
17,10.0,28100,2019,5,31,1,0,0,1,0,0
22,10.0,28300,2019,6,1,1,0,0,1,0,0
19,10.0,25600,2019,6,3,1,0,0,1,0,0
28,10.0,25500,2019,6,4,1,0,0,1,0,0
21,10.0,23900,2019,6,5,1,0,0,1,0,0
18,10.0,24400,2019,6,6,1,0,0,1,0,0
18,10.0,24300,2019,6,7,1,0,0,1,0,0
15,10.0,25200,2019,6,8,1,0,0,1,0,0
36,10.0,25400,2019,6,10,1,0,0,1,0,0
36,10.0,22400,2019,6,11,1,0,0,1,0,0
14,10.0,26000,2019,6,12,1,0,0,1,0,0
32,10.0,19700,2019,6,13,1,0,0,1,0,0
21,10.0,17600,2019,6,14,1,0,0,1,0,0
23,10.0,20000,2019,6,15,1,0,0,1,0,0
10,10.0,27400,2019,6,17,1,0,0,1,0,0
16,10.0,29400,2019,6,18,1,0,0,1,0,0
27,10.0,25400,2019,6,19,1,0,0,1,0,0
21,10.0,23600,2019,6,20,1,0,0,1,0,0
7,10.0,28900,2019,6,21,1,0,0,1,0,0
7,10.0,31600,2019,6,22,1,0,0,1,0,0
15,10.0,31900,2019,6,24,1,0,0,1,0,0
25,10.0,27700,2019,6,25,1,0,0,1,0,0
20,10.0,27000,2019,6,26,1,0,0,1,0,0
21,10.0,28000,2019,6,27,1,0,0,1,0,0
19,10.0,27100,2019,6,28,1,0,0,1,0,0
18,10.0,27400,2019,6,29,1,0,0,1,0,0
18,10.0,27500,2019,7,1,1,0,0,1,0,0
17,10.0,27400,2019,7,2,1,0,0,1,0,0
28,10.0,26000,2019,7,3,1,0,0,1,0,0
12,12.0,26000,2019,7,3,1,0,0,1,0,0
5,10.0,27000,2019,7,4,1,0,0,1,0,0
16,10.0,26200,2019,7,5,1,0,0,1,0,0
9,10.0,25000,2019,7,6,1,0,0,1,0,0
11,10.0,28500,2019,7,8,1,0,0,1,0,0
33,10.0,21900,2019,7,9,1,0,0,1,0,0
16,10.0,28400,2019,7,10,1,0,0,1,0,0
32,10.0,26600,2019,7,11,1,0,0,1,0,0
44,10.0,25900,2019,7,12,1,0,0,1,0,0
16,10.0,28200,2019,7,13,1,0,0,1,0,0
33,10.0,23500,2019,7,15,1,0,0,1,0,0
22,10.0,26500,2019,7,16,1,0,0,1,0,0
37,10.0,20100,2019,7,17,1,0,0,1,0,0
20,10.0,24500,2019,7,18,1,0,0,1,0,0
10,10.0,25700,2019,7,19,1,0,0,1,0,0
13,10.0,23400,2019,7,20,1,0,0,1,0,0
3,10.0,28000,2019,7,22,1,0,0,1,0,0
16,10.0,28700,2019,7,23,1,0,0,1,0,0
17,10.0,26700,2019,7,24,1,0,0,1,0,0
11,10.0,28100,2019,7,25,1,0,0,1,0,0
7,10.0,30900,2019,7,26,1,0,0,1,0,0
14,10.0,27300,2019,7,29,1,0,0,1,0,0
13,10.0,26800,2019,7,30,1,0,0,1,0,0
13,10.0,27000,2019,7,31,1,0,0,1,0,0
20,10.0,26300,2019,8,1,1,0,0,1,0,0
10,10.0,30200,2019,8,2,1,0,0,1,0,0
17,10.0,28200,2019,8,3,1,0,0,1,0,0
13,10.0,30500,2019,8,5,1,0,0,1,0,0
20,10.0,26900,2019,8,6,1,0,0,1,0,0
28,10.0,24400,2019,8,7,1,0,0,1,0,0
15,10.0,24200,2019,8,8,1,0,0,1,0,0
11,10.0,25800,2019,8,9,1,0,0,1,0,0
19,10.0,27300,2019,8,10,1,0,0,1,0,0
24,10.0,26400,2019,8,12,1,0,0,1,0,0
19,10.0,26600,2019,8,13,1,0,0,1,0,0
18,10.0,26600,2019,8,14,1,0,0,1,0,0
21,10.0,26800,2019,8,15,1,0,0,1,0,0
8,10.0,24600,2019,8,16,1,0,0,1,0,0
12,12.0,25400,2019,8,16,1,0,0,1,0,0
12,10.0,29800,2019,8,17,1,0,0,1,0,0
22,10.0,26900,2019,8,20,1,0,0,1,0,0
17,10.0,23500,2019,8,21,1,0,0,1,0,0
15,10.0,24700,2019,8,22,1,0,0,1,0,0
5,10.0,24800,2019,8,23,1,0,0,1,0,0
8,10.0,26300,2019,8,24,1,0,0,1,0,0
12,10.0,27200,2019,8,26,1,0,0,1,0,0
14,10.0,27600,2019,8,27,1,0,0,1,0,0
7,10.0,27900,2019,8,28,1,0,0,1,0,0
16,10.0,27700,2019,8,29,1,0,0,1,0,0
17,10.0,27300,2019,8,30,1,0,0,1,0,0
23,10.0,26500,2019,8,31,1,0,0,1,0,0
17,10.0,26200,2019,9,2,1,0,0,1,0,0
18,10.0,23400,2019,9,3,1,0,0,1,0,0
25,10.0,24700,2019,9,4,1,0,0,1,0,0
17,10.0,25700,2019,9,5,1,0,0,1,0,0
1,10.0,25000,2019,9,6,1,0,0,1,0,0
17,10.0,25800,2019,9,7,1,0,0,1,0,0
15,10.0,27000,2019,9,9,1,0,0,1,0,0
25,10.0,27500,2019,9,10,1,0,0,1,0,0
19,10.0,28800,2019,9,11,1,0,0,1,0,0
19,10.0,29900,2019,9,16,1,0,0,1,0,0
19,10.0,25100,2019,9,17,1,0,0,1,0,0
7,10.0,29100,2019,9,18,1,0,0,1,0,0
22,10.0,27600,2019,9,19,1,0,0,1,0,0
10,5.0,27200,2019,9,20,1,0,0,1,0,0
6,10.0,26000,2019,9,20,1,0,0,1,0,0
23,10.0,24900,2019,9,21,1,0,0,1,0,0
17,10.0,27700,2019,9,23,1,0,0,1,0,0
26,10.0,27000,2019,9,24,1,0,0,1,0,0
31,10.0,22800,2019,9,25,1,0,0,1,0,0
16,10.0,23000,2019,9,26,1,0,0,1,0,0
15,10.0,23900,2019,9,27,1,0,0,1,0,0
5,10.0,27500,2019,9,28,1,0,0,1,0,0
13,10.0,25900,2019,9,30,1,0,0,1,0,0
9,10.0,29600,2019,10,1,1,0,0,1,0,0
13,10.0,27600,2019,10,2,1,0,0,1,0,0
16,10.0,26100,2019,10,3,1,0,0,1,0,0
19,10.0,24700,2019,10,4,1,0,0,1,0,0
18,10.0,25600,2019,10,5,1,0,0,1,0,0
16,10.0,28900,2019,10,7,1,0,0,1,0,0
13,10.0,29600,2019,10,8,1,0,0,1,0,0
25,10.0,25500,2019,10,9,1,0,0,1,0,0
12,10.0,27000,2019,10,10,1,0,0,1,0,0
16,10.0,28600,2019,10,11,1,0,0,1,0,0
20,10.0,26100,2019,10,12,1,0,0,1,0,0
27,10.0,26300,2019,10,14,1,0,0,1,0,0
22,10.0,26300,2019,10,15,1,0,0,1,0,0
25,10.0,25400,2019,10,16,1,0,0,1,0,0
16,10.0,26000,2019,10,17,1,0,0,1,0,0
19,10.0,26200,2019,10,18,1,0,0,1,0,0
16,10.0,28300,2019,10,19,1,0,0,1,0,0
17,10.0,28600,2019,10,21,1,0,0,1,0,0
26,10.0,27300,2019,10,22,1,0,0,1,0,0
31,10.0,25100,2019,10,23,1,0,0,1,0,0
25,10.0,23300,2019,10,24,1,0,0,1,0,0
17,10.0,24000,2019,10,25,1,0,0,1,0,0
9,10.0,23400,2019,10,26,1,0,0,1,0,0
20,10.0,25600,2019,10,28,1,0,0,1,0,0
7,10.0,24400,2019,10,29,1,0,0,1,0,0
29,10.0,24000,2019,10,30,1,0,0,1,0,0
14,10.0,20900,2019,10,31,1,0,0,1,0,0
13,10.0,23500,2019,11,1,1,0,0,1,0,0
16,10.0,23800,2019,11,2,1,0,0,1,0,0
25,10.0,27300,2019,11,4,1,0,0,1,0,0
18,10.0,24700,2019,11,5,1,0,0,1,0,0
36,10.0,24300,2019,11,6,1,0,0,1,0,0
31,10.0,25900,2019,11,7,1,0,0,1,0,0
12,10.0,25300,2019,11,8,1,0,0,1,0,0
26,10.0,25000,2019,11,9,1,0,0,1,0,0
20,10.0,23600,2019,11,11,1,0,0,1,0,0
19,10.0,24300,2019,11,13,1,0,0,1,0,0
18,10.0,25300,2019,11,14,1,0,0,1,0,0
19,10.0,23100,2019,11,15,1,0,0,1,0,0
18,10.0,26500,2019,11,16,1,0,0,1,0,0
25,10.0,24500,2019,11,18,1,0,0,1,0,0
26,10.0,24000,2019,11,19,1,0,0,1,0,0
24,10.0,21400,2019,11,20,1,0,0,1,0,0
15,10.0,24100,2019,11,21,1,0,0,1,0,0
22,10.0,21500,2019,11,22,1,0,0,1,0,0
14,10.0,25900,2019,11,23,1,0,0,1,0,0
28,10.0,24000,2019,11,25,1,0,0,1,0,0
27,10.0,23800,2019,11,26,1,0,0,1,0,0
17,10.0,24600,2019,11,27,1,0,0,1,0,0
52,10.0,22700,2019,11,28,1,0,0,1,0,0
33,10.0,21800,2019,11,29,1,0,0,1,0,0
31,10.0,21800,2019,11,30,1,0,0,1,0,0
24,10.0,20800,2019,12,2,1,0,0,1,0,0
20,10.0,24700,2019,12,3,1,0,0,1,0,0
33,10.0,24300,2019,12,4,1,0,0,1,0,0
27,10.0,23400,2019,12,5,1,0,0,1,0,0
34,10.0,23100,2019,12,6,1,0,0,1,0,0
25,10.0,23600,2019,12,7,1,0,0,1,0,0
27,10.0,22600,2019,12,9,1,0,0,1,0,0
4,10.0,23000,2019,12,10,1,0,0,1,0,0
27,10.0,22400,2019,12,11,1,0,0,1,0,0
33,10.0,23400,2019,12,12,1,0,0,1,0,0
34,10.0,23200,2019,12,13,1,0,0,1,0,0
25,10.0,24800,2019,12,14,1,0,0,1,0,0
46,10.0,22400,2019,12,16,1,0,0,1,0,0
29,10.0,22000,2019,12,17,1,0,0,1,0,0
10,10.0,24800,2019,12,18,1,0,0,1,0,0
34,10.0,21900,2019,12,19,1,0,0,1,0,0
48,10.0,23300,2019,12,20,1,0,0,1,0,0
26,10.0,20400,2019,12,21,1,0,0,1,0,0
20,10.0,23400,2019,12,23,1,0,0,1,0,0
29,10.0,22200,2019,12,24,1,0,0,1,0,0
42,10.0,20700,2019,12,25,1,0,0,1,0,0
30,10.0,22200,2019,12,26,1,0,0,1,0,0
37,10.0,20800,2019,12,27,1,0,0,1,0,0
30,10.0,19400,2019,12,28,1,0,0,1,0,0
35,10.0,22500,2019,12,30,1,0,0,1,0,0
46,10.0,18700,2019,12,31,1,0,0,1,0,0
15,10.0,27100,2020,1,2,1,0,0,1,0,0
33,10.0,24000,2020,1,3,1,0,0,1,0,0
37,10.0,22700,2020,1,4,1,0,0,1,0,0
43,10.0,21400,2020,1,6,1,0,0,1,0,0
42,10.0,23100,2020,1,7,1,0,0,1,0,0
49,10.0,21000,2020,1,8,1,0,0,1,0,0
32,10.0,20500,2020,1,9,1,0,0,1,0,0
40,10.0,22500,2020,1,10,1,0,0,1,0,0
50,10.0,23500,2020,1,11,1,0,0,1,0,0
24,10.0,25100,2020,1,13,1,0,0,1,0,0
34,10.0,23800,2020,1,14,1,0,0,1,0,0
19,10.0,23600,2020,1,15,1,0,0,1,0,0
35,10.0,23300,2020,1,16,1,0,0,1,0,0
36,10.0,22900,2020,1,17,1,0,0,1,0,0
26,10.0,23200,2020,1,18,1,0,0,1,0,0
24,10.0,23500,2020,1,20,1,0,0,1,0,0
41,10.0,24000,2020,1,21,1,0,0,1,0,0
50,10.0,25300,2020,1,22,1,0,0,1,0,0
34,10.0,26300,2020,1,23,1,0,0,1,0,0
47,10.0,24300,2020,1,28,1,0,0,1,0,0
64,10.0,23900,2020,1,29,1,0,0,1,0,0
58,10.0,22900,2020,1,30,1,0,0,1,0,0
70,10.0,22000,2020,1,31,1,0,0,1,0,0
41,10.0,23900,2020,2,1,1,0,0,1,0,0
53,10.0,24000,2020,2,3,1,0,0,1,0,0
74,10.0,21000,2020,2,4,1,0,0,1,0,0
10,10.0,24000,2020,2,5,1,0,0,1,0,0
24,10.0,20600,2020,2,6,1,0,0,1,0,0
38,10.0,22200,2020,2,7,1,0,0,1,0,0
42,10.0,25100,2020,2,8,1,0,0,1,0,0
55,10.0,24200,2020,2,10,1,0,0,1,0,0
59,10.0,24800,2020,2,11,1,0,0,1,0,0
45,10.0,26000,2020,2,12,1,0,0,1,0,0
70,10.0,26000,2020,2,13,1,0,0,1,0,0
69,10.0,25500,2020,2,14,1,0,0,1,0,0
68,10.0,23200,2020,2,15,1,0,0,1,0,0
86,10.0,23100,2020,2,17,1,0,0,1,0,0
38,10.0,21400,2020,2,18,1,0,0,1,0,0
55,10.0,23100,2020,2,19,1,0,0,1,0,0
40,10.0,22600,2020,2,20,1,0,0,1,0,0
39,10.0,26200,2020,2,21,1,0,0,1,0,0
